url,attempted_url,status,http_status,word_count,title,source,date,query_family,query_id,extraction_status,extraction_method,raw_html_path,cleaned_text_path,error_message
http://www.uniindia.com/30-per-cent-of-seized-40-cooking-oil-samples-found-unfit-for-use-fda/west/news/2322545.html,http://www.uniindia.com/30-per-cent-of-seized-40-cooking-oil-samples-found-unfit-for-use-fda/west/news/2322545.html,failed,404,,30 per cent of seized 40 cooking oil samples found unfit for use: FDA,uniindia.com,2021-02-18,title_only,title_oils_enforcement,,,,,HTTP 404 (playwright)
https://www.business-standard.com/article/current-affairs/fssai-asks-states-to-ban-blending-of-mustard-oil-with-other-cooking-oil-121060901403_1.html,https://www.business-standard.com/amp/article/current-affairs/fssai-asks-states-to-ban-blending-of-mustard-oil-with-other-cooking-oil-121060901403_1.html,failed,403,,FSSAI asks states to ban blending of mustard oil with other cooking oil,business-standard.com,2021-06-09,title_only,title_oils_enforcement,,,,,Playwright: empty page
https://arunachaltimes.in/index.php/2021/06/10/fssai-asks-states-to-enforce-decision-to-ban-blending-of-mustard-oil-with-other-cooking-oil/,https://arunachaltimes.in/index.php/2021/06/10/fssai-asks-states-to-enforce-decision-to-ban-blending-of-mustard-oil-with-other-cooking-oil/,failed,404,,FSSAI asks states to enforce decision to ban blending of mustard oil with other cooking oil,arunachaltimes.in,2021-06-10,title_only,title_oils_enforcement,,,,,HTTP 404 (playwright)
https://www.sify.com/news/mumbai-dri-seizes-heroin-hidden-in-cooking-oil-cargo-news-national-vkipktbeefffg.html,https://www.sify.com/news/mumbai-dri-seizes-heroin-hidden-in-cooking-oil-cargo-news-national-vkipktbeefffg.html,failed,403,,Mumbai DRI seizes heroin hidden in cooking oil cargo,sify.com,2021-10-08,title_only,title_oils_enforcement,,,,,Playwright: empty page
https://www.news18.com/news/india/90-of-mustard-oil-adulterated-stop-using-oil-for-prices-to-fall-assam-bjp-mla-says-4390799.html,https://www.news18.com/news/india/90-of-mustard-oil-adulterated-stop-using-oil-for-prices-to-fall-assam-bjp-mla-says-4390799.html/amp,failed,403,,"90% of Mustard Oil Adulterated; Stop Using Oil for Prices to Fall, Assam BJP MLA Says",news18.com,2021-11-01,boolean,boolean_named_oils_fraud,,,,,Playwright: empty page
https://www.business-standard.com/article/economy-policy/2-42-pc-of-4-461-different-edible-oils-samples-found-to-be-substandard-fssai-121122901139_1.html,https://www.business-standard.com/amp/article/economy-policy/2-42-pc-of-4-461-different-edible-oils-samples-found-to-be-substandard-fssai-121122901139_1.html,failed,403,,"2.4% of 4,461 different edible oils samples found to be sub-standard: FSSAI",business-standard.com,2021-12-29,boolean,boolean_core_oils_fraud,,,,,Playwright: empty page
https://www.news18.com/lifestyle/how-to-differentiate-between-genuine-and-fake-cooking-oil-8924772.html,https://www.news18.com/lifestyle/how-to-differentiate-between-genuine-and-fake-cooking-oil-8924772.html/amp,failed,403,,How To Differentiate Between Genuine And Fake Cooking Oil,news18.com,2024-06-07,boolean,boolean_core_oils_fraud,,,,,Playwright: empty page
https://food.ndtv.com/news/samples-of-golgappa-water-coffee-found-substandard-mustard-oil-mis-branded-in-himachals-una-7069957,https://food.ndtv.com/news/samples-of-golgappa-water-coffee-found-substandard-mustard-oil-mis-branded-in-himachals-una-7069957?amp=1,failed,403,,"Food Safety Alert: Substandard Golgappa Water, Coffee, And Misbranded Mustard Oil In Una",ndtv.com,2024-11-21,boolean,boolean_named_oils_fraud,,,,,Playwright: empty page
https://www.news18.com/agency-feeds/over-4-lakh-litres-seized-in-drive-against-substandard-edible-oil-in-up-9935864.html,https://www.news18.com/agency-feeds/over-4-lakh-litres-seized-in-drive-against-substandard-edible-oil-in-up-9935864.html/amp,failed,403,,Over 4 lakh litres seized in drive against substandard edible oil in UP,news18.com,2026-02-28,boolean,boolean_core_oils_fraud,,,,,Playwright: empty page
https://www.news18.com/lifestyle/food/is-your-mustard-oil-real-adulteration-found-in-crores-of-indian-kitchens-test-yours-in-2-minutes-ws-e-9981533.html,https://www.news18.com/lifestyle/food/is-your-mustard-oil-real-adulteration-found-in-crores-of-indian-kitchens-test-yours-in-2-minutes-ws-e-9981533.html/amp,failed,403,,Is Your Mustard Oil Real? Adulteration Found In Crores Of Indian Kitchens,news18.com,2026-03-17,boolean,boolean_named_oils_fraud,,,,,Playwright: empty page
https://www.ndtv.com/food/unsafe-oil-aata-worth-rs-64-lakh-busted-in-hyderabad-raids-38-arrested-in-4-months-11401791,https://www.ndtv.com/food/unsafe-oil-aata-worth-rs-64-lakh-busted-in-hyderabad-raids-38-arrested-in-4-months-11401791?amp=1,failed,403,,"Unsafe Oil, <i>Aata</i> Worth Rs 64 Lakh Seized In Hyderabad Raids, 38 Arrested In 4 Months",ndtv.com,2026-04-24,boolean,boolean_core_oils_fraud,,,,,Playwright: empty page
https://munsifdaily.in/sl-prez-imposes-immediate-ban-on-palm-oil-import/,https://munsifdaily.in/sl-prez-imposes-immediate-ban-on-palm-oil-import/,failed,404,,SL Prez imposes immediate ban on palm oil import,munsifdaily.in,2021-04-06,title_only,title_oils_enforcement,,,,,HTTP 404 (playwright)
https://www.news18.com/news/world/sri-lanka-bans-palm-oil-imports-with-immediate-effect-asks-plantations-to-uproot-trees-3612191.html,https://www.news18.com/news/world/sri-lanka-bans-palm-oil-imports-with-immediate-effect-asks-plantations-to-uproot-trees-3612191.html/amp,failed,403,,"Sri Lanka Bans Palm Oil Imports with Immediate Effect, Asks Plantations to Uproot Trees",news18.com,2021-04-06,title_only,title_oils_enforcement,,,,,Playwright: empty page
https://www.business-standard.com/article/markets/india-s-series-of-interventions-arrest-domestic-spike-in-palm-oil-prices-121122401080_1.html,https://www.business-standard.com/amp/article/markets/india-s-series-of-interventions-arrest-domestic-spike-in-palm-oil-prices-121122401080_1.html,failed,403,,India's series of interventions arrest domestic spike in palm oil prices,business-standard.com,2021-12-24,title_only,title_oils_enforcement,,,,,Playwright: empty page
https://www.newkerala.com/news/2021/181185.htm,https://www.newkerala.com/news/2021/181185.htm,failed,404,,Indias series of interventions arrest domestic spike in palm oil prices,newkerala.com,2021-12-27,title_only,title_oils_enforcement,,,,,HTTP 404 (playwright)
https://www.business-standard.com/article/economy-policy/indonesia-ban-on-palm-oil-exports-starting-april-28-rattles-indian-markets-122042201291_1.html,https://www.business-standard.com/amp/article/economy-policy/indonesia-ban-on-palm-oil-exports-starting-april-28-rattles-indian-markets-122042201291_1.html,failed,403,,Indonesia ban on palm oil exports starting April 28 rattles Indian markets,business-standard.com,2022-04-22,title_only,title_oils_enforcement,,,,,Playwright: empty page
https://www.business-standard.com/article/international/mayhem-ensues-as-indonesia-bans-edible-oil-exports-amid-shortage-122042201027_1.html,https://www.business-standard.com/amp/article/international/mayhem-ensues-as-indonesia-bans-edible-oil-exports-amid-shortage-122042201027_1.html,failed,403,,'Mayhem' ensues as Indonesia bans edible oil exports amid shortage,business-standard.com,2022-04-22,title_only,title_oils_enforcement,,,,,Playwright: empty page
https://www.business-standard.com/article/international/palm-oil-export-ban-will-hurt-other-countries-but-necessary-indonesia-fm-122042300061_1.html,https://www.business-standard.com/amp/article/international/palm-oil-export-ban-will-hurt-other-countries-but-necessary-indonesia-fm-122042300061_1.html,failed,403,,"Palm oil export ban will hurt other countries, but necessary: Indonesia FM",business-standard.com,2022-04-23,title_only,title_oils_enforcement,,,,,Playwright: empty page
https://www.business-standard.com/article/markets/soyoil-prices-surge-to-record-high-as-indonesia-bans-palm-oil-exports-122042201287_1.html,https://www.business-standard.com/amp/article/markets/soyoil-prices-surge-to-record-high-as-indonesia-bans-palm-oil-exports-122042201287_1.html,failed,403,,Soyoil prices surge to record high as Indonesia bans palm oil exports,business-standard.com,2022-04-23,title_only,title_oils_enforcement,,,,,Playwright: empty page
https://www.ndtv.com/business/indonesias-exports-ban-of-palm-oil-resultant-markets-shock-report-2913113,https://www.ndtv.com/business/indonesias-exports-ban-of-palm-oil-resultant-markets-shock-report-2913113?amp=1,failed,403,,Indonesia's Exports Ban Of Palm Oil; Resultant Markets Shock: Report,ndtv.com,2022-04-23,title_only,title_oils_enforcement,,,,,Playwright: empty page
