url,status,http_status,word_count,title,source,date,query_family,query_id,extraction_status,extraction_method,raw_html_path,cleaned_text_path,error_message
http://www.uniindia.com/30-per-cent-of-seized-40-cooking-oil-samples-found-unfit-for-use-fda/west/news/2322545.html,failed,404,,30 per cent of seized 40 cooking oil samples found unfit for use: FDA,uniindia.com,2021-02-18,title_only,title_oils_enforcement,,,,,HTTP 404 (playwright)
https://arunachaltimes.in/index.php/2021/06/10/fssai-asks-states-to-enforce-decision-to-ban-blending-of-mustard-oil-with-other-cooking-oil/,failed,404,,FSSAI asks states to enforce decision to ban blending of mustard oil with other cooking oil,arunachaltimes.in,2021-06-10,title_only,title_oils_enforcement,,,,,HTTP 404 (playwright)
https://www.news18.com/news/india/90-of-mustard-oil-adulterated-stop-using-oil-for-prices-to-fall-assam-bjp-mla-says-4390799.html,failed,403,,"90% of Mustard Oil Adulterated; Stop Using Oil for Prices to Fall, Assam BJP MLA Says",news18.com,2021-11-01,boolean,boolean_named_oils_fraud,,,,,Playwright: empty page
https://www.news18.com/lifestyle/how-to-differentiate-between-genuine-and-fake-cooking-oil-8924772.html,failed,403,,How To Differentiate Between Genuine And Fake Cooking Oil,news18.com,2024-06-07,boolean,boolean_core_oils_fraud,,,,,Playwright: empty page
https://www.news18.com/agency-feeds/over-4-lakh-litres-seized-in-drive-against-substandard-edible-oil-in-up-9935864.html,failed,403,,Over 4 lakh litres seized in drive against substandard edible oil in UP,news18.com,2026-02-28,boolean,boolean_core_oils_fraud,,,,,Playwright: empty page
https://www.news18.com/lifestyle/food/is-your-mustard-oil-real-adulteration-found-in-crores-of-indian-kitchens-test-yours-in-2-minutes-ws-e-9981533.html,failed,403,,Is Your Mustard Oil Real? Adulteration Found In Crores Of Indian Kitchens,news18.com,2026-03-17,boolean,boolean_named_oils_fraud,,,,,Playwright: empty page
https://munsifdaily.in/sl-prez-imposes-immediate-ban-on-palm-oil-import/,failed,404,,SL Prez imposes immediate ban on palm oil import,munsifdaily.in,2021-04-06,title_only,title_oils_enforcement,,,,,HTTP 404 (playwright)
https://www.news18.com/news/world/sri-lanka-bans-palm-oil-imports-with-immediate-effect-asks-plantations-to-uproot-trees-3612191.html,failed,403,,"Sri Lanka Bans Palm Oil Imports with Immediate Effect, Asks Plantations to Uproot Trees",news18.com,2021-04-06,title_only,title_oils_enforcement,,,,,Playwright: empty page
https://www.news18.com/news/business/indonesia-bans-export-of-palm-oil-india-to-get-affected-all-you-need-to-know-5039449.html,failed,403,,Edible Oil Prices to Hike Further as Indonesia Bans Export of Palm Oil; Know Details,news18.com,2022-04-23,title_only,title_oils_enforcement,,,,,Playwright: empty page
https://www.news18.com/news/world/indonesia-to-ban-palm-oil-exports-president-widodo-cites-domestic-shortage-5035831.html,failed,403,,"Indonesia To Ban Palm Oil Exports, President Widodo Cites Domestic Shortage",news18.com,2022-04-23,title_only,title_oils_enforcement,,,,,Playwright: empty page
https://www.moneycontrol.com/news/opinion/indonesian-palm-oil-export-ban-set-to-raise-indian-inflation-8405201.html,failed,403,,Indonesian palm oil export ban set to raise Indian inflation,moneycontrol.com,2022-04-25,title_only,title_oils_enforcement,,,,,Playwright: empty page
https://www.moneycontrol.com/news/world/indonesias-palm-oil-export-ban-leaves-global-buyers-with-no-plan-b-8406841.html,failed,403,,Indonesia's palm oil export ban leaves global buyers with no plan B,moneycontrol.com,2022-04-25,title_only,title_oils_enforcement,,,,,Playwright: empty page
https://www.news18.com/news/business/soaps-shampoos-noodles-edible-oil-prices-may-rise-further-as-indonesia-bans-palm-oil-export-5046943.html,failed,403,,"Soaps, Shampoos, Noodles, Edible Oil Prices May Rise Further as Indonesia Bans Palm Oil Export",news18.com,2022-04-25,title_only,title_oils_enforcement,,,,,Playwright: empty page
https://www.news18.com/news/business/indonesias-palm-oil-export-ban-effective-today-heres-what-you-need-to-know-5068273.html,failed,403,,Indonesia's Palm Oil Export Ban Effective Today: Here's What You Need To Know,news18.com,2022-04-28,title_only,title_oils_enforcement,,,,,Playwright: empty page
https://www.news18.com/news/business/soap-shampoo-chocolate-price-hikes-is-indonesias-palm-oil-export-ban-impact-for-short-term-5093935.html,failed,403,,"Soap, Shampoo, Chocolate Price Hikes: Is Indonesia's Palm Oil Export Ban Impact For Short Term?",news18.com,2022-05-02,title_only,title_oils_enforcement,,,,,Playwright: empty page
