article_id,title,url,source,domain,publication_date,query_used,discovery_method,extraction_status,word_count,relevance_score,relevance_label,is_duplicate,duplicate_of_url,cleaned_text_path,error_message
06040b95-a9aa-41e1-a352-268d2f795adc,"110 kg chicken, 825 kg fake paneer, banned colours and chemicals seized: How to check purity at home",https://timesofindia.indiatimes.com/life-style/food-news/110-kg-chicken-825-kg-fake-paneer-banned-colours-and-chemicals-seized-how-to-check-purity-at-home/articleshow/131873428.cms,indiatimes.com,timesofindia.indiatimes.com,2026-06-20,"""cooking oil"" adulteration India",mediacloud,success,927,,irrelevant,,,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_from_sample_2026-06-21\mediacloud\cleaned_text\timesofindia.indiatimes.com\998381f3381f9db4.txt,
af5d5af3-49a7-43ed-9bad-0c1f703198e7,FDA seizes energy drink stock worth Rs 56L over misbranding,https://timesofindia.indiatimes.com/city/aurangabad/fda-seizes-energy-drink-stock-worth-rs-56l-over-misbranding/articleshow/131489352.cms,indiatimes.com,timesofindia.indiatimes.com,2026-06-04,"""edible oil"" adulteration India",mediacloud,success,386,0.9,relevant,,,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_from_sample_2026-06-21\mediacloud\cleaned_text\timesofindia.indiatimes.com\574deeabfc9f02f5.txt,
79f1b622-bb63-4727-aa20-b31d9e3baf17,FDA seizes 3.4 tonnes of suspect chemically ripened mangoes at APMC,https://www.hindustantimes.com/cities/mumbai-news/fda-seizes-3-4-tonnes-of-suspect-chemically-ripened-mangoes-at-apmc-101780427156417.html,hindustantimes.com,hindustantimes.com,2026-06-03,"""edible oil"" adulteration India",mediacloud,success,503,0.95,relevant,,,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_from_sample_2026-06-21\mediacloud\cleaned_text\hindustantimes.com\023cb897e6f611be.txt,
a4201faa-2e70-4413-b9b4-4e991a5f2773,"33 held, 27 establishments sealed in Maharashtra FDA's three-day drive",https://www.hindustantimes.com/cities/mumbai-news/33-held-27-establishments-sealed-in-maharashtra-fda-s-three-day-drive-101780125189075.html,hindustantimes.com,hindustantimes.com,2026-05-30,"""edible oil"" adulteration India",mediacloud,success,466,0.95,relevant,,,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_from_sample_2026-06-21\mediacloud\cleaned_text\hindustantimes.com\4a4a127c71a278f3.txt,
4ee92ac2-8d45-44d3-ae2e-3d4dfea256ea,800 kg fake khoya destroyed: 5 ways to check the purity at home and how to make preservative-free khoya,https://timesofindia.indiatimes.com/life-style/food-news/800-kg-fake-khoya-destroyed-5-ways-to-check-the-purity-at-home-and-how-to-make-preservative-free-khoya/articleshow/131217407.cms,indiatimes.com,timesofindia.indiatimes.com,2026-05-20,"""oil"" ""food safety"" ""seized"" India",mediacloud,success,659,,irrelevant,,,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_from_sample_2026-06-21\mediacloud\cleaned_text\timesofindia.indiatimes.com\59221e1e00586772.txt,
04c3d3ec-4da1-4e65-89c4-d5775f1ec8de,"Why did FSSAI bury 900 kg of paneer, worth â¹2.25 lakh, and why one has to be extra careful while buying it in summer - The Times of India",https://timesofindia.indiatimes.com/life-style/food-news/why-did-fssai-bury-900-kg-of-paneer-worth-2-25-lakh-and-why-one-has-to-be-extra-careful-while-buying-it-in-summer/articleshow/130602453.cms,indiatimes.com,timesofindia.indiatimes.com,2026-04-29,"""palm oil"" adulteration India",mediacloud,success,709,,irrelevant,,,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_from_sample_2026-06-21\mediacloud\cleaned_text\timesofindia.indiatimes.com\b5d45a35dceb03b6.txt,
b73e96cd-56e7-4a46-8c42-578e352771b3,"Adulterated Osmania biscuits, fake paneer, rotten eggs: What Hyderabad’s crackdown on eateries has revealed",https://indianexpress.com/article/india/adulterated-osmania-biscuits-fake-paneer-rotten-eggs-what-hyderabads-crackdown-on-eateries-has-revealed-10612335/,indianexpress.com,indianexpress.com,2026-04-01,"""palm oil"" adulteration India",mediacloud,success,478,,irrelevant,,,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_from_sample_2026-06-21\mediacloud\cleaned_text\indianexpress.com\f333a1cb56fd86f5.txt,
e12c3d06-8fd0-4fd0-b6a9-3f57ff7b1753,"""Disgustingly unhygienic"": Hyderabad samosa unit raided; reused oil and stale boiled eggs seized | - The Times of India",https://timesofindia.indiatimes.com/etimes/trending/disgustingly-unhygienic-hyderabad-samosa-unit-raided-reused-oil-and-stale-boiled-eggs-seized/articleshow/129729552.cms,indiatimes.com,timesofindia.indiatimes.com,2026-03-22,"""cooking oil"" adulteration India",mediacloud,success,373,0.95,relevant,,,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_from_sample_2026-06-21\mediacloud\cleaned_text\timesofindia.indiatimes.com\0c1614f06a0861ee.txt,
6521cd47-18cb-4918-97a0-315d86c8e792,"Gujarat news: 1,401 kg of adulterated paneer seized in Surat; food outlet was operating without licence, says FSSAI | Today News",https://www.livemint.com/news/india/gujarat-news-1-401-kg-of-adulterated-paneer-seized-in-surat-food-outlet-was-operating-without-licence-says-fssai-11772801034522.html,livemint.com,livemint.com,2026-03-06,"FSDA ""edible oil"" seized",mediacloud,success,788,1.0,relevant,,,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_from_sample_2026-06-21\mediacloud\cleaned_text\livemint.com\1b519f628f095470.txt,
9bb26713-fcc5-407e-a1e5-dafc26a312c2,"Hyderabad fake ghee raid: How 3,000 kg of cow & buffalo cream were mixed with cheap substances and supplied to public",https://economictimes.indiatimes.com/news/new-updates/hyderabad-fake-ghee-raid-how-3000-kg-of-cow-buffalo-cream-were-mixed-with-cheap-substances-and-supplied-to-public/articleshow/129141501.cms,indiatimes.com,economictimes.indiatimes.com,2026-03-06,"""palm oil"" adulteration India",mediacloud,success,465,0.95,relevant,,,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_from_sample_2026-06-21\mediacloud\cleaned_text\economictimes.indiatimes.com\ef2ce670ac93db21.txt,
